gene,pval,logFC,pct_good,pct_bad,padj,cluster,sig
ANXA1,8.0833491642146e-60,-1.97930622063964,0.581,0.955,3.64300380132824e-55,1,TRUE
LMNA,9.12181098161771e-60,-1.88307861032239,0.792,0.986,4.11101777319547e-55,0,TRUE
IGFBP6,1.06465701704253e-59,-3.8681996386006,0.211,0.904,4.79819624440728e-55,2,TRUE
SERPINB5,2.85854810760346e-59,-2.5051642115722,0.298,0.847,1.28829046113473e-54,1,TRUE
HMGA1,7.24603076706053e-59,-2.34818248443532,0.479,0.93,3.26564114609884e-54,1,TRUE
NR4A1,1.42740924840266e-58,1.52765395043911,0.955,0.827,6.43304800070112e-54,1,TRUE
FGFBP1,3.10552264989886e-58,-6.2513045410569,0.036,0.724,1.39959694785642e-53,2,TRUE
ANXA2,5.91219824151704e-58,-1.58327358656332,0.991,1,2.6645095034869e-53,0,TRUE
TXN,2.56217395521989e-57,-2.1374381823629,0.986,1,1.1547205581385e-52,0,TRUE
PDLIM4,7.94784904601328e-57,-2.34014655736463,0.278,0.847,3.58193660805727e-52,1,TRUE
KRT14,8.09940994552309e-57,-5.92246927266817,0.079,0.659,3.65024207424835e-52,0,TRUE
CXCL1,1.38497051777317e-56,1.61538700405093,0.993,0.865,6.24178512950013e-52,0,TRUE
NCOA7,1.65495151679469e-56,2.92358400597996,0.815,0.39,7.45853549589029e-52,1,TRUE
S100A10,1.13206417238789e-55,-2.45785037637002,0.785,0.996,5.10198681211772e-51,2,TRUE
ALDH1A3,1.61319261148864e-55,-3.40159606431844,0.238,0.827,7.27033646145702e-51,0,TRUE
TSC22D1,2.96085142178061e-55,1.55396473004258,0.993,0.904,1.33439651876808e-50,0,TRUE
FSCN1,5.70485623526681e-55,-3.21371444246555,0.09,0.652,2.57106460811005e-50,1,TRUE
CYR61,5.79847819969485e-55,2.78506832632822,0.946,0.605,2.61325815503848e-50,2,TRUE
DSG3,7.01539848952093e-55,-4.57077066022702,0.039,0.582,3.16169979125729e-50,0,TRUE
KRT14,8.13260779950175e-55,-5.03476497797823,0.118,0.794,3.66520368307945e-50,2,TRUE
KRT6A,9.66425435668113e-55,-6.43948379735225,0.039,0.702,4.35548615346905e-50,2,TRUE
TUBA1C,2.40239195835928e-54,-2.70008762784016,0.47,0.918,1.08271000779336e-49,0,TRUE
S100A14,6.42451477265306e-54,-2.3838272187405,0.401,0.898,2.89540031773928e-49,1,TRUE
PHLDA2,1.38700049680485e-53,-2.68968264767082,0.341,0.805,6.2509338390001e-49,1,TRUE
A2M,1.48542207856033e-53,2.89196953840104,0.836,0.327,6.6945002236557e-49,0,TRUE
GJB2,2.11154823991094e-53,-3.15221597895872,0.278,0.796,9.51632560763061e-49,1,TRUE
