gene,pval,logFC,pct_good,pct_bad,padj,cluster,sig
IGFBP6,1.82531038960407e-27,-2.94200155075785,0.289,0.673,8.22630886386763e-23,0,TRUE
ALOX15,2.18603033754997e-27,-1.36694447516297,0.604,0.904,9.8520015252702e-23,0,TRUE
MAP2K3,2.45338301329763e-27,-1.5185478493008,0.34,0.769,1.10569065643297e-22,0,TRUE
DUSP6,2.56976179763427e-27,2.2228024641028,0.731,0.469,1.15814024695781e-22,2,TRUE
ID2,2.8819483548866e-27,2.72223900602757,0.652,0.268,1.29883648458029e-22,2,TRUE
EMP1,3.00046826002455e-27,-2.28463431389508,0.194,0.671,1.35225103542787e-22,2,TRUE
S100A10,3.56518909602573e-27,-3.261287144018,0.662,0.962,1.60675942179687e-22,11,TRUE
NOP16,3.84074409826721e-27,-2.13836399487253,0.154,0.632,1.73094655020706e-22,2,TRUE
PHLDA2,4.41508118206619e-27,-2.52427935592801,0.215,0.667,1.98978878713359e-22,2,TRUE
CYP24A1,4.59265148511241e-27,2.44122869958316,0.647,0.361,2.06981617131046e-22,1,TRUE
DCN,4.79477677938436e-27,2.42224291508442,0.561,0.217,2.16090999893294e-22,1,TRUE
SERPINB2,4.82863021113445e-27,-6.85619426325352,0.009,0.5,2.17616706355407e-22,11,TRUE
ALDH1A3,9.66101741943291e-27,-3.09581788597072,0.079,0.504,4.35402733059003e-22,2,TRUE
ALOX15,1.16936584096629e-26,-1.87187825085065,0.229,0.728,5.27009797206686e-22,2,TRUE
H1FX,1.59403135604371e-26,2.06582908167883,0.642,0.409,7.18398051541779e-22,1,TRUE
MACC1,1.79597625608171e-26,-2.83079680090289,0.056,0.389,8.09410579090906e-22,0,TRUE
GJB3,2.09930299618698e-26,-2.07218945460839,0.174,0.567,9.46113874321547e-22,0,TRUE
CTSV,4.17266516608486e-26,-2.86933511308172,0.137,0.51,1.88053673705112e-21,0,TRUE
GADD45B,4.40634580828221e-26,2.49617107671127,0.724,0.404,1.98585192887663e-21,2,TRUE
PTGDS,7.32330536724596e-26,3.19172786812414,0.572,0.173,3.30046726291041e-21,0,TRUE
GADD45B,7.78022179924197e-26,1.5536790608504,0.84,0.639,3.50639036048237e-21,0,TRUE
DUSP1,7.82808410401904e-26,0.933828303089064,0.972,0.846,3.5279609439993e-21,0,TRUE
JCHAIN,9.91290450304849e-26,3.68897854900796,0.424,0.093,4.46754780143389e-21,1,TRUE
SERPINB5,1.06880925750825e-25,-2.12992168189298,0.226,0.68,4.81690956173818e-21,2,TRUE
PNO1,1.12456158315479e-25,-1.76808214092999,0.194,0.611,5.06817414296201e-21,0,TRUE
ADH1C,1.36677613387632e-25,2.17183183859918,0.728,0.465,6.15978668015382e-21,2,TRUE
ATF3,1.5022070553016e-25,1.47835069778346,0.803,0.514,6.77014675683327e-21,0,TRUE
VIM,1.62128111126829e-25,1.73220431602919,0.755,0.505,7.30678971226393e-21,0,TRUE
GJB2,2.73471845218278e-25,-2.94655818181481,0.186,0.614,1.23248291202974e-20,2,TRUE
MALL,2.92708035425483e-25,-1.69863881077658,0.17,0.565,1.31917657405557e-20,1,TRUE
FSCN1,3.19938540523553e-25,-2.63402198729693,0.075,0.5,1.44189901443155e-20,2,TRUE
MISP,3.45751856604956e-25,-2.27991337783432,0.12,0.49,1.55823446734722e-20,0,TRUE
ITGA6,4.04603501709416e-25,-2.68221339665204,0.129,0.566,1.82346706150399e-20,2,TRUE
UPK1B,5.50153538921285e-25,-1.862278938483,0.306,0.697,2.47943196921045e-20,0,TRUE
EGR1,5.5373123498194e-25,2.96481036992931,0.89,0.333,2.49555592981661e-20,11,TRUE
SLC38A2,9.20263052945802e-25,1.02383414230615,0.88,0.84,4.14744152701614e-20,1,TRUE
SDCBP2,1.28302628913561e-24,-3.10661645309751,0.062,0.38,5.78234287987636e-20,0,TRUE
RHOD,1.39572476045825e-24,-1.14794306651307,0.271,0.703,6.29025235043325e-20,1,TRUE
FOSL1,1.78581049804151e-24,-5.45618252785217,0.004,0.333,8.04829075257348e-20,2,TRUE
RASD1,2.0210558273071e-24,2.59188124944953,0.564,0.249,9.10849440250764e-20,1,TRUE
BPIFB1,2.08149550382247e-24,3.02256483388478,0.991,0.628,9.38088393662712e-20,11,TRUE
ALOX15,2.35249731131616e-24,-1.34187690814759,0.321,0.719,1.06022348826397e-19,1,TRUE
PHLDA1,2.6766287700491e-24,-2.21206644972421,0.151,0.592,1.20630305408573e-19,2,TRUE
LRRC8A,2.68488587899138e-24,-1.58965072406007,0.458,0.822,1.21002436794384e-19,0,TRUE
GNG11,2.76247084863706e-24,3.02526949133216,0.597,0.26,1.24499036206375e-19,0,TRUE
DKK1,2.76973805965968e-24,-7.31894965044574,0,0.423,1.24826554872742e-19,11,TRUE
ANO1,2.90432235062526e-24,-3.32585709486258,0.021,0.288,1.30891999697979e-19,0,TRUE
RASD1,3.64017018858034e-24,2.55320750988858,0.625,0.26,1.64055190058939e-19,0,TRUE
ALDH1A3,3.82542233891608e-24,-2.8710265550462,0.251,0.833,1.7240413397027e-19,11,TRUE
TM4SF1,4.50347068595166e-24,-3.96389388603611,0.365,0.885,2.02962416874469e-19,11,TRUE
HLA-DRB1,5.8090771515975e-24,1.92668233419595,0.762,0.519,2.61803489068196e-19,0,TRUE
ST14,8.32283897930202e-24,-1.73902318700978,0.456,0.798,3.75093707119184e-19,0,TRUE
TTC9,8.72436349692813e-24,-3.64795829515714,0.03,0.303,3.93189614079557e-19,0,TRUE
FSCN1,9.03698699386423e-24,-2.40518896946941,0.097,0.442,4.07278929839473e-19,0,TRUE
MGP,1.10492986052865e-23,2.74801331556527,0.57,0.202,4.97969789543053e-19,2,TRUE
GJB3,1.15912028230159e-23,-3.84182250618951,0.046,0.551,5.2239232882768e-19,11,TRUE
MTHFD2,1.58406540265665e-23,-2.24278519022781,0.106,0.457,7.13906595669299e-19,0,TRUE
LINC00152,1.77262949108723e-23,-2.7945553892939,0.023,0.288,7.98888659043195e-19,1,TRUE
ZNF593,1.85892826367385e-23,-1.69380053440429,0.308,0.768,8.3778178987253e-19,2,TRUE
SERPINE2,1.86913962859638e-23,-2.57546866502669,0.113,0.457,8.42383847815817e-19,0,TRUE
DCN,2.18487357381403e-23,2.1803705778718,0.611,0.24,9.84678822246508e-19,0,TRUE
CTSV,2.50167068279897e-23,-5.15391809262566,0.037,0.513,1.12745294332384e-18,11,TRUE
HLA-DPB1,2.57595437209716e-23,3.25018292141343,0.523,0.144,1.16093111641675e-18,0,TRUE
HLA-DRB1,2.61629673707131e-23,2.45286967639424,0.561,0.288,1.1791126134633e-18,1,TRUE
PDLIM4,3.86648177802951e-23,-1.56848961652567,0.258,0.732,1.74254600772234e-18,2,TRUE
PLAU,4.45828863379598e-23,-3.79211042026455,0.047,0.408,2.00926152147917e-18,2,TRUE
GALNT5,4.85447442953979e-23,-1.40175407114921,0.128,0.498,2.18781453590499e-18,1,TRUE
NRP2,7.57041344302904e-23,-1.68172483393432,0.113,0.476,3.41183393050433e-18,0,TRUE
SOX9,7.8935991220986e-23,-4.01808304594467,0.037,0.513,3.5574872523474e-18,11,TRUE
PAICS,8.11170449495722e-23,-1.4292233398829,0.218,0.604,3.65578298178732e-18,1,TRUE
SPARCL1,8.5831132012428e-23,2.46099678836555,0.534,0.256,3.86823745753611e-18,1,TRUE
TOMM40,9.08975100545077e-23,-1.52970939074088,0.317,0.697,4.09656898313655e-18,0,TRUE
HLA-DRA,1.03100816270797e-22,2.12323670135996,0.681,0.333,4.64654758769226e-18,2,TRUE
BIRC3,1.21700765737652e-22,2.56168254541032,0.544,0.262,5.4848101102645e-18,1,TRUE
MAP2K3,1.26117284143771e-22,-2.05792636780386,0.129,0.548,5.68385376179147e-18,2,TRUE
LGALS7B,1.77370487941318e-22,-1.32218977126898,0.748,0.933,7.9937331505393e-18,0,TRUE
PTGDS,1.90342270313913e-22,3.46756937766716,0.401,0.099,8.57834543850743e-18,1,TRUE
FST,2.08742523579064e-22,-1.92658582907171,0.328,0.658,9.40760805266127e-18,1,TRUE
NRP2,2.46547435301811e-22,-2.82906396879388,0.05,0.412,1.1111399814182e-17,2,TRUE
SPRR1B,2.52526352993644e-22,-6.43541579063191,0.009,0.423,1.13808576767175e-17,11,TRUE
KRT23,2.64444324436067e-22,-3.40145634816479,0.082,0.615,1.19179768136847e-17,11,TRUE
SERPINB5,3.07210983635723e-22,-3.30587772544083,0.114,0.654,1.38453846104948e-17,11,TRUE
GEM,3.15921739943818e-22,3.52735112134861,0.5,0.144,1.4237960975788e-17,0,TRUE
GJB2,3.47135988889469e-22,-2.51739612122806,0.264,0.639,1.56447247472706e-17,0,TRUE
BPIFA1,3.68414417631229e-22,6.05381408894638,0.271,0.006,1.66037009738042e-17,1,TRUE
ADH1C,4.22210171274532e-22,1.18290234830917,0.868,0.74,1.90281679990006e-17,0,TRUE
GNA15,4.292167609177e-22,-1.70323678048829,0.155,0.529,1.93439409810389e-17,0,TRUE
BPIFB1,7.52242975802715e-22,4.57722111471478,0.416,0.057,3.39020864334767e-17,2,TRUE
DSG3,8.71945663605897e-22,-1.98727587494369,0.05,0.335,3.92968471673906e-17,1,TRUE
ODC1,9.54270355663219e-22,-2.34204431919597,0.093,0.487,4.300705638903e-17,2,TRUE
IGLC3,9.99888103932964e-22,3.95001300690829,0.441,0.079,4.50629570680508e-17,2,TRUE
DSC3,1.07681964710074e-21,-2.00620741050125,0.129,0.544,4.8530107855536e-17,2,TRUE
IGHG3,1.22364671505215e-21,2.98118897548558,0.452,0.088,5.51473101539704e-17,2,TRUE
ANXA1,1.4001018301215e-21,-2.71284606871051,0.881,0.987,6.30997892799158e-17,11,TRUE
BRI3,1.69259159732121e-21,2.17826494713499,0.546,0.3,7.62817181080723e-17,1,TRUE
LMNA,1.95349973005895e-21,-1.85735460115823,0.644,0.974,8.80403258342969e-17,11,TRUE
HMGA1,1.95480076235358e-21,-2.4233493879123,0.37,0.872,8.80989607577512e-17,11,TRUE
ID2,1.96374483863936e-21,1.66668052998582,0.734,0.562,8.85020523877987e-17,0,TRUE
COL17A1,2.08935988956064e-21,-2.29897566182466,0.12,0.462,9.41632715027191e-17,0,TRUE
ID4,2.09004146667255e-21,3.07098294042163,0.426,0.137,9.41939888199983e-17,1,TRUE
IGHG3,2.15864099072277e-21,5.95355670044111,0.726,0.103,9.7285632169894e-17,11,TRUE
FST,2.4812444150935e-21,-2.77491880002899,0.208,0.605,1.11824723299434e-16,2,TRUE
DDX21,2.56797755108852e-21,-1.52724382340644,0.376,0.794,1.15733612272457e-16,2,TRUE
MRTO4,2.58828800852872e-21,-1.39611146636097,0.208,0.606,1.16648963968372e-16,0,TRUE
CTSV,2.64944241208843e-21,-2.51509333324534,0.082,0.461,1.19405070628002e-16,2,TRUE
IGLC2,2.6570313975386e-21,3.17265894602932,0.799,0.282,1.19747091024269e-16,11,TRUE
JUNB,3.55591683147439e-21,1.88061539417768,0.959,0.756,1.60258059760888e-16,11,TRUE
RASD1,3.57758211304983e-21,3.57737926146728,0.48,0.114,1.6123447067093e-16,2,TRUE
MT2A,4.42626595413792e-21,-3.10554704019076,0.594,0.827,1.99482954021088e-16,1,TRUE
ISG20,5.38311793931686e-21,-2.17845852490359,0.236,0.601,2.42606359289132e-16,0,TRUE
IGHM,7.37857876896766e-21,3.23666332757126,1,0.505,3.32537787959834e-16,15,TRUE
DUSP1,7.70063720031741e-21,1.26345654782671,0.857,0.623,3.47052317343905e-16,2,TRUE
HLA-DPA1,7.87741192802516e-21,3.72116261829424,0.366,0.083,3.55019200772238e-16,1,TRUE
GALNT5,8.58960638865039e-21,-2.18049041893915,0.093,0.474,3.87116380723696e-16,2,TRUE
MTHFD2,9.0971663413113e-21,-3.88078287231162,0.022,0.329,4.09991092670218e-16,2,TRUE
SPRR3,1.06198934436647e-20,-3.92963358735317,0.009,0.221,4.78617357719081e-16,0,TRUE
EMP1,1.21127030661121e-20,-4.68586272106343,0.233,0.731,5.45895301783542e-16,11,TRUE
IGKC,1.23418733777801e-20,7.02625413986891,1,0.923,5.56223549389795e-16,15,TRUE
KRT8,1.28971612502816e-20,-2.10870795484693,0.909,0.987,5.81249263227693e-16,11,TRUE
DUSP1,1.64190889465304e-20,1.92856298287004,0.954,0.654,7.3997550064223e-16,11,TRUE
LRRC8A,1.87065136157935e-20,-2.80121968629176,0.219,0.744,8.4306515563658e-16,11,TRUE
KRT8,2.16487004004083e-20,-0.816869088354153,0.895,0.987,9.756636296456e-16,1,TRUE
NOL6,2.84551657191399e-20,-1.81993965839615,0.055,0.335,1.2824174086302e-15,1,TRUE
TRIM47,2.85532646666827e-20,-1.78172821428992,0.118,0.509,1.28683853199806e-15,2,TRUE
H1FX,2.89106599160269e-20,1.47490949887491,0.734,0.577,1.3029456210955e-15,0,TRUE
TNFRSF12A,3.08235424832431e-20,-3.60289197020176,0.178,0.679,1.3891554126348e-15,11,TRUE
EHD1,3.88109618237757e-20,-1.85643909546862,0.102,0.423,1.74913242747392e-15,0,TRUE
SCGB3A1,4.01436604861655e-20,4.67140165068555,1,0.868,1.80919449079051e-15,15,TRUE
PNRC1,4.04169164361082e-20,1.63978580762728,0.731,0.504,1.82150958994252e-15,2,TRUE
SCGB1A1,5.25379668441694e-20,1.8991339628588,1,0.87,2.36778108973303e-15,0,TRUE
TFF3,5.43331626726574e-20,2.52743379826873,0.72,0.543,2.44868697533132e-15,0,TRUE
TSPAN8,5.89007716764986e-20,1.78852223965323,0.676,0.385,2.65453997791644e-15,0,TRUE
IGLC3,6.2497576044012e-20,4.46819044435081,0.703,0.103,2.81664075715153e-15,11,TRUE
SFN,6.26251666839094e-20,-3.50211832945205,0.361,0.808,2.82239101211043e-15,11,TRUE
BIK,6.79650082027842e-20,-1.53438674272735,0.115,0.441,3.06304698968308e-15,1,TRUE
TFF3,7.67852646365938e-20,3.98318144761827,0.918,0.551,3.46055830664201e-15,11,TRUE
EGR1,8.29191630238152e-20,4.06824960658397,0.977,0.407,3.7370008391573e-15,15,TRUE
TRIM47,1.08727333015429e-19,-1.46982318084807,0.192,0.562,4.90012344433938e-15,0,TRUE
ARHGAP29,1.09579487994321e-19,-2.5508478214783,0.086,0.434,4.93852836492806e-15,2,TRUE
CYP24A1,1.15439809349249e-19,2.23674807689198,0.653,0.361,5.20264132775197e-15,0,TRUE
PTGDS,1.27161108306649e-19,4.25535571140782,0.384,0.053,5.73089682916407e-15,2,TRUE
LMTK3,1.47705384108012e-19,-3.75854447922641,0.096,0.564,6.65678625097988e-15,11,TRUE
MSMB,1.77827884890828e-19,5.28955322157669,0.907,0.231,8.01434711625983e-15,15,TRUE
HN1,1.84221645665527e-19,-2.38238559620604,0.47,0.872,8.30250112685396e-15,11,TRUE
GJB3,1.92626873191912e-19,-2.11698706863742,0.072,0.43,8.6813079210131e-15,2,TRUE
PAICS,2.6023977508379e-19,-1.220912766089,0.301,0.668,1.17284861834763e-14,0,TRUE
CYP26A1,2.6918700682945e-19,4.34358139338475,0.286,0.032,1.21317200237896e-14,1,TRUE
ATF3,3.30733526115734e-19,2.0512413988782,0.573,0.215,1.49054985549839e-14,2,TRUE
TXN,4.12461260468797e-19,-2.26736908419259,0.982,0.987,1.85888040868078e-14,11,TRUE
SDPR,4.19524468446657e-19,2.18131152173049,0.561,0.332,1.8907128743954e-14,1,TRUE
ATAD3A,4.53526420731164e-19,-2.12856216720065,0.045,0.294,2.04395287295121e-14,1,TRUE
ODC1,4.7321767543049e-19,-1.70261967390968,0.241,0.591,2.13269741963013e-14,0,TRUE
CTGF,5.09081124716447e-19,5.47084508224398,0.884,0.187,2.29432681287209e-14,15,TRUE
ITGB8,6.05440891505586e-19,-2.75440671684949,0.132,0.641,2.72860100983737e-14,11,TRUE
BTG2,6.65833473278571e-19,2.99611909166264,0.79,0.372,3.00077829737186e-14,11,TRUE
IGHG1,6.95583286449136e-19,2.73702815758674,0.463,0.135,3.13485475536897e-14,0,TRUE
PIGR,9.19094203056212e-19,1.64762000533301,1,0.923,4.14217375433374e-14,11,TRUE
IGHG1,1.04812969368618e-18,4.07651733904352,0.296,0.045,4.7237109035049e-14,1,TRUE
LMTK3,1.10398954802627e-18,-1.87109604904335,0.215,0.553,4.97546009504481e-14,0,TRUE
PIGR,1.21331889194468e-18,3.1202640857571,0.616,0.298,5.46818558221628e-14,0,TRUE
JCHAIN,1.22424372671765e-18,3.68821672457435,0.419,0.092,5.51742162757111e-14,2,TRUE
UNC5B-AS1,1.24992761427426e-18,-1.90589331119235,0.262,0.601,5.63317377201124e-14,0,TRUE
ISG20,1.29790725832224e-18,-1.63716684426137,0.088,0.377,5.84940843180667e-14,1,TRUE
PAICS,1.325360986119e-18,-1.62150428808647,0.154,0.557,5.97313689224112e-14,2,TRUE
LAD1,1.42209524915254e-18,-2.91430383445873,0.087,0.551,6.40909886888066e-14,11,TRUE
SERPINB4,1.51492408755942e-18,-2.77630448852848,0.233,0.756,6.82745987781281e-14,11,TRUE
RRP9,1.81181917313458e-18,-1.48157462204639,0.148,0.49,8.16550664948292e-14,0,TRUE
VIM,1.98790022000335e-18,1.82839794651209,0.604,0.406,8.95906871151108e-14,1,TRUE
A2M,2.52107311646039e-18,2.1143114963387,0.831,0.321,1.13619723212637e-13,11,TRUE
ITGA6,2.66400260963282e-18,-2.66609070025164,0.091,0.577,1.20061269610932e-13,11,TRUE
PNO1,2.85938603290632e-18,-2.35657869375405,0.079,0.412,1.28866809731022e-13,2,TRUE
ADH7,3.23317742241728e-18,1.15813441331457,0.734,0.7,1.45712840073502e-13,1,TRUE
TUBA1C,3.2630009142417e-18,-2.11353070456533,0.365,0.859,1.47056925203045e-13,11,TRUE
FLRT3,3.39206867622958e-18,2.47951035915683,0.546,0.255,1.52873751100315e-13,0,TRUE
IGHA1,4.13068353481234e-18,5.62551864034634,0.977,0.725,1.86161645546923e-13,15,TRUE
CYP26A1,4.29223757028411e-18,2.13246587286946,0.572,0.245,1.93442562817564e-13,0,TRUE
FGFBP1,4.55120568909166e-18,-4.75344161442017,0.209,0.956,2.05113737995983e-13,15,TRUE
SH3BGRL3,6.16930450736549e-18,-2.02324070379624,0.74,0.923,2.78038215537948e-13,11,TRUE
IER2,7.10088185833621e-18,1.70401016236024,0.9,0.641,3.20022543591496e-13,11,TRUE
MUC5AC,7.15021082199193e-18,3.17028481728061,0.927,0.513,3.22245701325532e-13,11,TRUE
DCN,7.43580470344795e-18,2.66445549240552,0.491,0.167,3.35116846374992e-13,2,TRUE
MIR4435-2HG,8.10374845251758e-18,-3.60000687424414,0.087,0.526,3.65219735258062e-13,11,TRUE
S100A16,8.43236862479261e-18,-2.18122465800993,0.648,0.949,3.80029989182153e-13,11,TRUE
TXN,8.80168753275123e-18,-2.95287010688583,1,1,3.96674453726033e-13,15,TRUE
RHOD,9.16232181295598e-18,-1.13452675973253,0.354,0.716,4.129275194663e-13,0,TRUE
LYZ,9.28896260469214e-18,3.3344894453832,0.772,0.308,4.18634966668265e-13,11,TRUE
EHD1,9.89950152855752e-18,-2.96302210787282,0.029,0.311,4.4615073488903e-13,2,TRUE
NKX2-1,1.00093983965043e-17,2.04032854375342,0.539,0.339,4.51103566933658e-13,1,TRUE
BPIFB1,1.01427267702526e-17,4.67177831447087,0.767,0.066,4.57112410081743e-13,15,TRUE
JUNB,1.03794005408613e-17,2.71712798604445,1,0.846,4.67778823575537e-13,15,TRUE
TUBB6,1.07281598222566e-17,-2.46628984275936,0.079,0.399,4.83496706869463e-13,2,TRUE
ANXA2,1.16945776488565e-17,-1.67559882236025,0.973,0.987,5.27051225478665e-13,11,TRUE
CAV1,1.5090050952732e-17,-1.88005428518174,0.225,0.558,6.80078416337724e-13,0,TRUE
TACSTD2,1.51443396354681e-17,-2.19704215652693,0.881,0.962,6.82525098691278e-13,11,TRUE
A2M,1.62243731373956e-17,2.26125095189019,0.541,0.25,7.31200048556146e-13,2,TRUE
CALML3,1.6628326179393e-17,-1.88750672533503,0.078,0.345,7.49405404252886e-13,1,TRUE
CXCL2,1.70947132513229e-17,1.92785400773094,0.589,0.332,7.7042453681062e-13,1,TRUE
LAMC2,1.73724436404544e-17,-2.33733956791405,0.118,0.469,7.82941289987998e-13,2,TRUE
KRT14,1.84403114079542e-17,-2.94836491498632,0.032,0.41,8.3106795453368e-13,11,TRUE
S100A2,1.85001592930212e-17,-2.89466863670904,0.953,1,8.33765179017877e-13,15,TRUE
IGLC2,2.17902262814983e-17,2.5965226459312,0.52,0.237,9.82041918054566e-13,2,TRUE
KRT6A,2.21295707266946e-17,-5.9127411166148,0.163,0.923,9.97335493510673e-13,15,TRUE
LAMC2,2.23223187041808e-17,-2.16896225467335,0.183,0.495,1.00602225936002e-12,0,TRUE
SERPINB4,2.2537124960225e-17,-2.05354651950749,0.172,0.526,1.01570314770742e-12,2,TRUE
SERPINB1,2.40082784251336e-17,-2.79939375761936,0.626,0.91,1.08200509206392e-12,11,TRUE
MIR4435-2HG,2.56624538837272e-17,-2.47202152042749,0.028,0.24,1.15655547163182e-12,1,TRUE
SERPINB13,2.5859625921947e-17,-1.64061276891589,0.197,0.579,1.16544162105031e-12,2,TRUE
LRRC4,2.65926376809301e-17,-3.3673329586174,0.055,0.462,1.19847699500416e-12,11,TRUE
PHLDA2,2.74343378978458e-17,-2.15160173755877,0.443,0.885,1.23641074038011e-12,11,TRUE
GNA15,2.84786404081641e-17,-2.11181571636749,0.075,0.399,1.28347536591514e-12,2,TRUE
CLDN1,3.28000844659371e-17,-2.60989077376164,0.228,0.705,1.47823420671085e-12,11,TRUE
DSC3,4.06405578708907e-17,-1.01260536795859,0.155,0.476,1.8315886621253e-12,1,TRUE
CD74,4.50843624248518e-17,2.26506215574215,1,0.912,2.03186204576322e-12,15,TRUE
CSTA,4.64326084353643e-17,-1.43126575703356,0.889,0.971,2.092624796965e-12,0,TRUE
TIAM1,5.56391356537944e-17,-3.5151890831983,0.041,0.423,2.5075445656452e-12,11,TRUE
CYR61,6.32430040514353e-17,3.38751684545784,0.953,0.516,2.85023570659009e-12,15,TRUE
SERPINB1,6.64350273781944e-17,-2.08291090640601,0.24,0.601,2.99409381388046e-12,2,TRUE
KRT4,6.94948156579132e-17,-4.80525255936866,0.174,0.615,3.13199235207083e-12,11,TRUE
TIAM1,7.15999683940952e-17,-2.5917861810536,0.039,0.325,3.22686737558508e-12,2,TRUE
ALOX15,8.51375222812306e-17,-2.73431669728922,0.329,0.782,3.8369778541705e-12,11,TRUE
CXCL2,8.61590004700005e-17,2.31191078961246,0.597,0.337,3.88301383318198e-12,0,TRUE
MALL,8.83138098827392e-17,-1.68710003165219,0.229,0.553,3.98012678379529e-12,0,TRUE
HLA-DPB1,1.01237832222915e-16,3.4156479305905,0.321,0.08,4.56258662262233e-12,1,TRUE
FLRT3,1.03799745333131e-16,2.16798449544276,0.474,0.23,4.67804692267354e-12,1,TRUE
TSPAN8,1.1084076710924e-16,1.42141895764389,0.954,0.756,4.99537169207921e-12,11,TRUE
IGFBP3,1.12353426079777e-16,-2.26027436134591,0.324,0.808,5.06354420656338e-12,11,TRUE
PIGR,1.44150865027621e-16,3.50482872279787,0.296,0.061,6.49659118506481e-12,1,TRUE
TOB1,1.57604493839283e-16,2.08925768529349,0.599,0.377,7.10291932834881e-12,2,TRUE
LAMB3,1.81274249778267e-16,-2.08634385228072,0.26,0.756,8.16966788900693e-12,11,TRUE
EIF4EBP1,1.8755831634536e-16,-2.15119091048719,0.061,0.36,8.45287820105268e-12,2,TRUE
KRT13,2.75884274287371e-16,-6.98481591706463,0.07,0.879,1.24335524735832e-11,15,TRUE
C3,3.20678862727688e-16,2.73199275847196,0.386,0.147,1.44523549854115e-11,1,TRUE
RRP9,3.27042969203186e-16,-2.06807399228374,0.075,0.382,1.47391725360492e-11,2,TRUE
JUN,3.42921691257402e-16,1.61593481408644,0.945,0.705,1.54547947815886e-11,11,TRUE
COL1A1,4.2636481282297e-16,2.31532056558225,0.488,0.207,1.92154093843056e-11,0,TRUE
S100A10,4.97485791090154e-16,-2.30815158797632,0.907,1,2.24206896328511e-11,15,TRUE
RHOD,5.17722273842249e-16,-2.80089965399735,0.123,0.551,2.33327074375225e-11,11,TRUE
SERPINB13,5.45434189677791e-16,-4.36935234578832,0.073,0.462,2.45816280603987e-11,11,TRUE
FOS,5.61041770219431e-16,2.81422360177904,0.977,0.714,2.52850305002493e-11,15,TRUE
SERPINB4,5.63680634745841e-16,-0.749001498813349,0.704,0.913,2.54039588467256e-11,0,TRUE
SDPR,7.05654789933417e-16,2.1881201921269,0.59,0.38,3.18024500727192e-11,0,TRUE
EGR2,7.40193661549025e-16,5.80219568168156,0.651,0.033,3.33590479386915e-11,15,TRUE
CDC42EP5,9.96598493671206e-16,2.54747943721724,0.463,0.183,4.49147009127739e-11,0,TRUE
PNRC1,1.09185034878655e-15,3.35705599644907,0.884,0.341,4.9207511519112e-11,15,TRUE
MT2A,1.10874835740411e-15,-2.51084228085904,0.523,0.842,4.99690709714883e-11,2,TRUE
LINC00152,1.1523577019942e-15,-3.0508705368381,0.105,0.526,5.19344569134747e-11,11,TRUE
BRI3,1.45757518741311e-15,1.40323878902321,0.671,0.591,6.56899985463341e-11,0,TRUE
SFN,1.79027607827388e-15,-2.39659939830478,0.86,1,8.06841622956472e-11,15,TRUE
JCHAIN,2.54274785842016e-15,4.71124082803949,0.626,0.128,1.1459656048328e-10,11,TRUE
CALML3,2.74486986379334e-15,-2.65808937809166,0.054,0.325,1.23705795021438e-10,2,TRUE
TOMM40,3.18492222109816e-15,-1.46804463177294,0.176,0.531,1.43538074660452e-10,2,TRUE
JUN,4.04850020688874e-15,2.65340648517262,0.977,0.714,1.82457807324062e-10,15,TRUE
MALL,4.16775283601718e-15,-2.41390576999881,0.151,0.615,1.87832284813622e-10,11,TRUE
GALNT5,4.49259663971716e-15,-2.59877758395868,0.164,0.603,2.02472345358773e-10,11,TRUE
GEM,4.74266405556488e-15,3.83633755231802,0.333,0.061,2.13742383656198e-10,2,TRUE
BTG2,5.1103140259199e-15,3.54772639363438,0.884,0.407,2.30311632520158e-10,15,TRUE
DUSP6,5.22231199397019e-15,3.64038331362291,0.837,0.264,2.35359156944248e-10,15,TRUE
NR4A2,5.43638885426885e-15,2.39823865009813,0.735,0.308,2.45007172884189e-10,11,TRUE
LRRC4,5.84216332385726e-15,-2.38599153124496,0.015,0.185,2.63294616679599e-10,1,TRUE
IER2,6.13898195297943e-15,2.71296101400505,0.953,0.604,2.76671638656877e-10,15,TRUE
IGLC3,6.37812404511166e-15,3.89187089833565,0.767,0.165,2.87449294465092e-10,15,TRUE
C15orf48,6.58234288562782e-15,-2.5527875316533,0.069,0.298,2.96653029169475e-10,0,TRUE
ST14,8.07007393973377e-15,-2.07775652298454,0.438,0.846,3.63702092315922e-10,11,TRUE
H1FX,8.83442664026889e-15,1.79692232021721,0.584,0.351,3.98149939823638e-10,2,TRUE
CD74,9.20482056111381e-15,1.01319675449107,1,0.962,4.14842853048277e-10,11,TRUE
SERPINB1,9.22563623787829e-15,-3.08358534287966,0.535,0.934,4.15780973968699e-10,15,TRUE
LRRC8A,9.29028154676817e-15,-0.830799747993944,0.411,0.751,4.18694408749748e-10,1,TRUE
NR4A1,1.09739625378215e-14,3.16776374957944,0.907,0.484,4.94574543654538e-10,15,TRUE
SERPINB5,1.35181874040708e-14,-3.0408789355133,0.302,0.934,6.09237669926662e-10,15,TRUE
GADD45B,1.40279326495988e-14,2.75618348351014,0.93,0.451,6.32210868652118e-10,15,TRUE
DSG3,1.42340822753198e-14,-3.65967142196151,0.018,0.321,6.41501619984115e-10,11,TRUE
MUC5AC,1.4347470058371e-14,4.40459582556887,0.721,0.11,6.46611780590662e-10,15,TRUE
