pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_KRAS_SIGNALING_UP,9.69959319793901e-05,0.000440890599906319,0.538434096309916,0.336472735913622,1.59896418764661,184,DUSP6|LCP1|CXCR4|CD37|LAPTM5|IL10RA|EPB41L3|ADAMDEC1|FCER1G|GNG11|SPARCL1|TMEM176B|ACE|IL2RG|APOD|ITGBL1|ID2|GYPC|ITGB2|GADD45G|PECAM1|BIRC3|TNFRSF1B|PLVAP|IL7R|TMEM176A|PIGR|DOCK2|FGF9|SPON1|SPRY2|CXCL10|ADGRL4|GFPT2|ADGRA2|SPP1|PTGS2|IRF8|GPRC5B|TNFAIP3|PRDM1|PPP1R15A|MMP9|TRIB1|G0S2|TRAF1|CSF2|IKZF1|ATG10|HSD11B1|CBX8|CPE
HALLMARK_COMPLEMENT,0.000754252502681507,0.00299760419026852,0.477270815362862,0.311287449998449,1.4648738810657,187,DUSP6|CCL5|C1QA|CR1|SPOCK2|C1QC|GP1BA|GATA3|C1S|C3|FCER1G|F10|DUSP5|PLA2G7|WAS|ANG|FN1|APOC1|CXCL1|LCP2|FYN|HPCAL4|CD40LG|SERPING1|GNG2|GZMA|SERPINA1|GZMK|MT3|LTF|PLEK|TIMP2|IRF1|OLR1|CEBPB|TNFAIP3|C1R|F3|LCK|PDP1|IRF2
HALLMARK_HYPOXIA,0.000779377089469816,0.00299760419026852,0.477270815362862,0.321238442347536,1.52003752604235,179,DCN|CXCR4|BGN|ACKR3|SLC2A3|FOS|PNRC1|ATF3|JUN|SCARB1|TGM2|PPARGC1A|ZFP36|DUSP1|PLIN2|BHLHE40|CDKN1C|BCL2|TMEM45A|TNFAIP3|ERRFI1|S100A4|PPP1R15A|NFIL3|FBP1|SLC6A6|DDIT3|COL5A1|EDN2|SRPX|F3|PGAM2|ANKZF1|SIAH2|BTG1|SDC2|CDKN1B|PRKCA|DDIT4|CITED2|IRS2|WSB1|SLC2A5|ZNF292|LOX|TGFB3|PDGFB|RBPJ|FOSL2|BNIP3L|IER3|HEXA|EGFR|GLRX|SULT2B1|NR3C1|P4HA2
HALLMARK_INFLAMMATORY_RESPONSE,0.00196397479126314,0.00701419568308265,0.431707695803346,0.309313018787203,1.46462250761808,181,RGS1|BTG2|CCL5|NDP|OSM|GP1BA|P2RX7|CCL24|IL10RA|BEST1|GPR183|TNFRSF9|VIP|APLNR|CD48|TNFRSF1B|LCP2|SELL|IL7R|EBI3|BST2|CCR7|CX3CL1|PDE4B|KCNJ2|CD69|CCL2|CXCL10|NFKBIA|SLC7A2|TNFSF15|PTGER4|IRF1|OLR1|TNFSF9|SLC4A4|TACR1|F3|CSF3|LCK|FPR1|IL15|ACVR2A
HALLMARK_MTORC1_SIGNALING,0.00322722910887916,0.0107574303629305,0.431707695803346,-0.351960537609178,-1.47329356432747,195,CDC25A|PNP|MAP2K3|ELOVL6|RRM2|PNO1|SLC7A5|MTHFD2|RRP9|AK4|TXNRD1|ENO1|MCM4|TOMM40|SCD|TUBA4A|HK2|POLR3G|SLC7A11|TRIB3|PSME3|ME1|MCM2|HMBS|ACACA|ABCF2|ETF1|CCNF|NUP205|YKT6|IDH1|ADIPOR2|ACTR3|PITPNB|NFKBIB|STIP1|LDHA|SRD5A1|PSMD12|GAPDH|CCT6A|DAPP1|NUFIP1|BUB1|ARPC5L|G6PD|ACLY|HPRT1|PPA1|ELOVL5|CALR|LDLR|SLC2A1|CD9|PSMD14|PLOD2|TPI1|EEF1E1|HSPD1|HSPE1|UNG|PRDX1|GMPS|PSMC4|DDX39A|UCHL5|PSMB5|TUBG1|ERO1A|EDEM1|PLK1|GSR|PSMC2|ATP2A2|PPIA|PSMD13|TMEM97|NAMPT|PSMG1|SQLE|EIF2S2|GCLC|TES|PDAP1|GPI|HSPA9|DHFR|SDF2L1|ALDOA|UFM1|HMGCR|ASNS|UBE2D3|ACTR2|TFRC
HALLMARK_UV_RESPONSE_DN,0.0072449967484078,0.0226406148387744,0.407017918923954,0.310675321151011,1.41738183980743,137,PTGFR|PDGFRB|COL1A2|AMPH|COL1A1|MMP16|COL3A1|FYN|IGFBP5|FBLN5|DUSP1|PRKCE|SYNE1|NFIB|PLCB4|SMAD7|BHLHE40|MAP1B|SNAI2|LTBP1|F3|SDC2|CDKN1B|PRKCA|DLC1|ACVR2A|CITED2|ZMIZ1|DBP|PLPP3|CACNA1A|INSIG1|PTEN|DAB2|EFEMP1|KIT|MGLL|NR3C1|RND3|PTPRM|COL5A2|PHF3|APBB2|PMP22|TGFBR3|RGS4|NIPBL|TFPI|CDON|CELF2|ADD3|CDC42BPA|ATRX|MTA1|ID1
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0084545697074373,0.0248663814924626,0.380730400722792,-0.342358418064772,-1.4264319881831,186,KRT13|ASCL1|TIAM1|SERPINA3|GAL|CCNA1|GJB3|CYP26B1|SFN|CDC6|NMU|CA2|LAMC2|TH|CA12|AREG|CAV1|SLC7A5|GINS2|ASS1|ST14|FKBP5|STIL|HSPB8|CD44|HR|ISG20|PTGES|PKP3|CDH1|UGDH|PLK4|SCUBE2|SLC24A3|FKBP4|ABHD2|PPIF|TFPI2|NRIP1|GALE|NXT1|SOX3|KCNK5|UNC13B|HPRT1|RAB31|ELOVL5|FRK|KRT19|CISH|CD9|BAG1
HALLMARK_PANCREAS_BETA_CELLS,0.0276196795784771,0.0767213321624365,0.352487857583619,-0.549490200872321,-1.53813505979742,21,CHGA|ABCC8|SCGN|DCX|VDR|FOXA2|GCK
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0297484685653183,0.0782854435929429,0.352487857583619,0.33079719250544,1.36485229638869,80,LTB|A2M|LEPR|CXCL13|ITGA4|IL2RG|JUN|TNFRSF1B|CXCL1|CXCL3|EBI3|TNF|IL7|ACVRL1|CXCL10|IRF1|CSF2|SOCS1|SOCS3|CXCL9|PDGFC|CSF2RB|IRF9
HALLMARK_GLYCOLYSIS,0.0369928400954654,0.0924821002386635,0.257206466468838,-0.312835144989075,-1.30808344893732,188,CHST1|DSC2|SOX9|PFKFB1|TXN|HS6ST2|AK4|ENO1|NDST3|BIK|HK2|CD44|ISG20|GPR87|B3GNT3|ME1|SLC16A3|GOT2|GPC1|ADORA2B|QSOX1|FKBP4|PGAM1|B3GAT1|IDH1|GALE|HOMER1|LDHA|PFKP|NANP|B4GALT2|ANGPTL4|ABCB6|PGM2|CLN6|G6PD|GPC3|PYGB|DEPDC1|ME2|PMM2|TGFA|IGFBP3|MET|SDC1|PKM|PLOD2|TPI1|GMPPB|CLDN3|PLOD1|PSMC4|EXT2|PGLS|EXT1|SLC25A13|PRPS1|CHPF2|ERO1A|CHPF|PC|ARPP19|B3GALT6|PPIA|SPAG4|CLDN9|HMMR|PPP2CB|GYS1|GCLC|KIF20A|AK3|NT5E|MIF|IL13RA1|RPE|LHPP|ALDOA|SDC3|CHST6|SRD5A3|NSDHL|PKP2|HS2ST1|CHST2|DLD
