orig.ident,nCount_RNA,nFeature_RNA,percent.mt,percent.rb,RNA_snn_res.0.5,seurat_clusters,RedGreen,RNA_snn_res.0.2,RNA_snn_res.0.3,RNA_snn_res.1,RNA_snn_res.0.8,repairment,specimen
s11,29348,2280,3.5232383808096,5.02589614283767,2,2,red,4,4,3,5,bad_repair,s11
s11,6083,2545,14.7460134801907,11.0307414104882,1,1,red,3,3,1,2,bad_repair,s11
s11,2252,1136,11.9005328596803,14.9644760213144,26,26,red,5,5,21,10,bad_repair,s11
s11,16477,4212,20.2160587485586,7.65916125508284,9,9,red,6,6,11,8,bad_repair,s11
s11,4282,1309,18.7295656235404,25.0116767865483,3,3,red,10,5,14,11,bad_repair,s11
s11,5554,1477,16.7086784299604,17.2488296723082,17,17,red,8,10,15,16,bad_repair,s11
s11,35145,5922,22.4925309432352,21.8295632380139,0,0,red,1,2,2,1,bad_repair,s11
s11,18954,4655,15.4320987654321,23.9210720692202,0,0,red,0,0,0,0,bad_repair,s11
s11,20259,4996,14.5120687102029,23.1600770028136,0,0,red,3,0,0,0,bad_repair,s11
s11,10896,3051,22.6688693098385,20.2734948604993,0,0,red,0,0,0,0,bad_repair,s11
s11,14360,4399,21.9359331476323,4.2966573816156,9,9,red,6,6,11,8,bad_repair,s11
s11,10821,3475,10.4426577950282,14.4256538212734,1,1,red,3,3,1,2,bad_repair,s11
s11,42186,7950,12.807566491253,6.12762527852842,9,9,red,6,6,17,15,bad_repair,s11
s11,47324,7552,16.8941763164568,21.9296762741949,0,0,red,0,0,5,0,bad_repair,s11
s11,41380,6701,20.4422426292895,15.2875785403577,0,0,red,1,2,8,1,bad_repair,s11
s11,8362,1244,6.46974408036355,6.25448457306865,2,2,red,4,4,3,5,bad_repair,s11
s11,120906,9764,19.8377251749293,24.7969496964584,0,0,red,1,2,2,1,bad_repair,s11
s11,51749,7429,20.8313204119886,18.40808518039,0,0,red,1,2,2,1,bad_repair,s11
s11,22033,2419,6.48118730994418,2.35101892615622,2,2,red,4,4,12,12,bad_repair,s11
s11,3709,1291,11.3777298463198,30.2777028848746,3,3,red,5,5,7,11,bad_repair,s11
s11,10533,1329,17.003702648818,2.65831197189784,2,2,red,4,4,3,5,bad_repair,s11
s11,2835,1134,18.4479717813051,20.9876543209877,3,3,red,5,5,10,10,bad_repair,s11
s11,4269,1124,14.0782384633404,3.70110096041227,2,2,red,4,4,3,5,bad_repair,s11
s11,10102,2101,7.06790734508018,8.21619481290834,2,2,red,4,4,12,5,bad_repair,s11
s11,14190,3825,18.8653981677238,20.8809020436927,25,25,red,3,13,25,20,bad_repair,s11
s11,2622,1244,8.9626239511823,19.1838291380625,3,3,red,5,5,7,11,bad_repair,s11
s11,4876,1781,7.05496308449549,23.1542247744053,3,3,red,5,5,7,11,bad_repair,s11
s11,16836,4987,21.2580185317178,3.13019719648373,9,9,red,6,6,11,8,bad_repair,s11
s11,47195,7569,16.8704311897447,20.1779849560335,0,0,red,7,7,9,7,bad_repair,s11
s11,5480,2118,19.4343065693431,19.5255474452555,0,0,red,0,0,13,13,bad_repair,s11
s11,8972,1383,6.76549264378065,2.30717788675881,2,2,red,4,4,12,12,bad_repair,s11
s11,44850,7541,17.9397993311037,15.2753623188406,0,0,red,1,2,2,1,bad_repair,s11
s11,8486,2717,13.846335140231,26.1371670987509,0,0,red,0,0,0,0,bad_repair,s11
s11,7542,2623,17.2765844603553,14.5319543887563,1,1,red,3,3,1,2,bad_repair,s11
s11,11225,2666,20.6503340757238,27.9109131403118,0,0,red,0,0,0,0,bad_repair,s11
s11,21223,4615,20.1809357772228,17.1888988361683,0,0,red,0,0,0,4,bad_repair,s11
s11,2786,1116,15.1471643933956,19.2749461593683,3,3,red,5,5,10,10,bad_repair,s11
s11,7817,3141,18.1143661251119,13.1636177561724,9,9,red,6,6,17,15,bad_repair,s11
s11,15143,1695,4.80089810473486,4.41788285016179,2,2,red,4,4,3,5,bad_repair,s11
s11,17894,4719,11.4619425505756,24.600424723371,0,0,red,0,0,0,0,bad_repair,s11
s11,2839,1106,18.3163085593519,19.7252553716097,27,27,red,8,17,28,25,bad_repair,s11
s11,12494,1444,6.37906194973587,3.11349447734913,2,2,red,4,4,12,12,bad_repair,s11
s11,12702,3070,16.5485750275547,28.0507006770587,0,0,red,1,2,2,1,bad_repair,s11
s11,5627,1064,10.4496179136307,3.26994846276879,2,2,red,4,4,3,5,bad_repair,s11
s11,48839,7124,13.1964208931387,17.6232109584553,14,14,red,1,8,8,9,bad_repair,s11
s11,14538,1630,6.10125189159444,3.78318888430321,2,2,red,4,4,12,12,bad_repair,s11
s11,9265,3121,10.2968159740961,16.4597949271452,1,1,red,3,3,1,2,bad_repair,s11
s11,4978,1791,20.249096022499,11.8722378465247,5,5,red,7,7,16,17,bad_repair,s11
s11,4940,1763,1.53846153846154,10.5668016194332,9,9,red,6,6,23,31,bad_repair,s11
s11,83151,9199,9.39976668951666,26.8307055838174,0,0,red,1,2,2,1,bad_repair,s11
s11,13409,2713,10.1573569990305,15.8251920352002,29,29,red,3,19,1,30,bad_repair,s11
s11,6522,2068,17.3873045078197,15.5320453848513,3,3,red,5,5,7,11,bad_repair,s11
s11,16024,1538,5.06739890164753,13.4236145781328,2,2,red,4,4,3,5,bad_repair,s11
s11,5976,1917,16.3654618473896,17.2690763052209,3,3,red,5,5,7,11,bad_repair,s11
s11,10557,3520,5.44662309368192,14.994790186606,1,1,red,3,3,1,2,bad_repair,s11
s11,17433,1964,2.79355245798199,5.66167613147479,2,2,red,4,4,3,5,bad_repair,s11
s11,11174,3876,7.57114730624664,13.7909432611419,7,7,red,2,1,6,6,bad_repair,s11
s11,11047,3194,17.7876346519417,24.4138680184666,0,0,red,0,0,0,4,bad_repair,s11
s11,18474,1746,2.95009202121901,3.37230702609072,2,2,red,4,4,3,5,bad_repair,s11
s11,34308,4999,14.8624227585403,4.02530022152268,2,2,red,4,4,12,12,bad_repair,s11
s11,24334,4321,19.9391797485,6.39023588394839,14,14,red,1,8,8,9,bad_repair,s11
s11,20589,4254,17.7424838505998,7.53314876876002,14,14,red,1,8,8,9,bad_repair,s11
s11,13799,4363,16.2475541705921,4.76846148271614,9,9,red,6,6,11,8,bad_repair,s11
s11,3517,1260,16.5197611600796,20.0739266420245,3,3,red,5,5,10,10,bad_repair,s11
s11,7285,2559,19.9862731640357,7.05559368565546,1,1,red,3,3,1,2,bad_repair,s11
s11,14710,1639,2.67165193745751,9.85723997280761,2,2,red,4,4,3,5,bad_repair,s11
s11,19972,1883,3.26957740837172,8.12136991788504,2,2,red,4,4,12,12,bad_repair,s11
s11,5430,2120,16.9429097605893,8.63720073664825,17,17,red,8,10,15,16,bad_repair,s11
s11,4340,1201,14.6774193548387,3.29493087557604,2,2,red,4,4,3,5,bad_repair,s11
s11,4793,1418,15.835593573962,15.3974546213228,2,2,red,4,4,12,12,bad_repair,s11
